restaurant_name,rating,reviews_given,restaurant_location,cuisines,average_cost_for_two,order_category,city,restaurant_category,has_online_order,has_table_booking,num_cuisines
Jalsa,4.1,775,Banashankari,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,Casual Dining,1,1,3
Spice Elephant,4.1,787,Banashankari,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,Casual Dining,1,0,3
San Churro Cafe,3.8,918,Banashankari,"Cafe, Mexican, Italian",800.0,Buffet,Banashankari,Cafe,1,0,3
Addhuri Udupi Bhojana,3.7,88,Banashankari,"South Indian, North Indian",300.0,Buffet,Banashankari,Quick Bites,0,0,2
Grand Village,3.8,166,Basavanagudi,"North Indian, Rajasthani",600.0,Buffet,Banashankari,Casual Dining,0,0,2
Timepass Dinner,3.8,286,Basavanagudi,North Indian,600.0,Buffet,Banashankari,Casual Dining,1,0,1
Rosewood International Hotel - Bar & Restaurant,3.6,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,Casual Dining,0,0,4
Onesta,4.6,2556,Banashankari,"Pizza, Cafe, Italian",600.0,Cafes,Banashankari,Casual Dining,1,1,3
Penthouse Cafe,4.0,324,Banashankari,"Cafe, Italian, Continental",700.0,Cafes,Banashankari,Cafe,1,0,3
Smacznego,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,Cafe,1,0,5
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1,402,Banashankari,Cafe,500.0,Cafes,Banashankari,Cafe,1,0,1
Cafe Shuffle,4.2,150,Banashankari,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,Cafe,1,1,3
The Coffee Shack,4.2,164,Banashankari,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,Cafe,1,1,4
Caf-Eleven,4.0,424,Banashankari,"Cafe, Continental",450.0,Cafes,Banashankari,Cafe,0,0,2
San Churro Cafe,3.8,918,Banashankari,"Cafe, Mexican, Italian",800.0,Cafes,Banashankari,Cafe,1,0,3
Cafe Vivacity,3.8,90,Banashankari,Cafe,650.0,Cafes,Banashankari,Cafe,1,0,1
Catch-up-ino,3.9,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,Cafe,1,0,5
Kirthi's Biryani,3.8,144,Banashankari,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,Cafe,1,0,3
T3H Cafe,3.9,93,Banashankari,"Cafe, Italian, American",300.0,Cafes,Banashankari,Cafe,0,0,3
360 Atoms Restaurant And Cafe,3.1,13,Banashankari,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,Cafe,1,0,4
The Vintage Cafe,3.0,62,Banashankari,"Cafe, French, North Indian",400.0,Cafes,Banashankari,Cafe,1,0,3
Woodee Pizza,3.7,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,Cafe,1,0,4
Cafe Coffee Day,3.6,28,Banashankari,"Cafe, Fast Food",900.0,Cafes,Banashankari,Cafe,0,0,2
My Tea House,3.6,62,Banashankari,"Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,Quick Bites,1,0,4
Hide Out Cafe,3.7,31,Banashankari,Cafe,300.0,Cafes,Banashankari,Cafe,0,0,1
CAFE NOVA,3.2,11,Banashankari,"Cafe, Bakery",600.0,Cafes,Banashankari,Cafe,0,0,2
Coffee Tindi,3.8,75,Banashankari,"Cafe, South Indian",200.0,Cafes,Banashankari,Cafe,1,0,2
Sea Green Cafe,3.3,4,Banashankari,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,Cafe,0,0,3
Cuppa,3.3,23,Banashankari,"Cafe, Fast Food",550.0,Cafes,Banashankari,Cafe,0,0,2
Srinathji's Cafe,3.8,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,Casual Dining,0,0,4
Redberrys,4.0,219,Basavanagudi,"Cafe, Italian",600.0,Cafes,Banashankari,Cafe,1,0,2
Foodiction,2.8,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,Quick Bites,1,0,4
Sweet Truth,3.9,35,Banashankari,"Bakery, Desserts",500.0,Delivery,Banashankari,Delivery,1,0,2
Ovenstory Pizza,3.9,172,Banashankari,Pizza,750.0,Delivery,Banashankari,Delivery,1,0,1
Faasos,4.2,415,Banashankari,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,Quick Bites,1,0,3
Behrouz Biryani,3.9,230,Banashankari,Biryani,650.0,Delivery,Banashankari,Delivery,1,0,1
Fast And Fresh,2.8,91,Banashankari,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,Quick Bites,1,0,3
Szechuan Dragon,4.2,1647,Banashankari,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,Casual Dining,1,0,3
Empire Restaurant,4.4,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,Casual Dining,1,0,4
Maruthi Davangere Benne Dosa,4.0,17,Banashankari,South Indian,150.0,Delivery,Banashankari,Quick Bites,1,0,1
Chaatimes,3.8,133,Basavanagudi,"Street Food, Fast Food",200.0,Delivery,Banashankari,Quick Bites,1,0,2
Havyaka Mess,3.9,28,Banashankari,South Indian,300.0,Delivery,Banashankari,Mess,0,0,1
McDonald's,3.9,286,Banashankari,"Burger, Fast Food",500.0,Delivery,Banashankari,Quick Bites,1,0,2
Domino's Pizza,3.9,540,Banashankari,"Pizza, Fast Food",800.0,Delivery,Banashankari,Quick Bites,1,0,2
Onesta,4.6,2556,Banashankari,"Pizza, Cafe, Italian",600.0,Delivery,Banashankari,Casual Dining,1,1,3
Hotboxit,3.8,36,Banashankari,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,Delivery,0,0,3
Kitchen Garden,3.6,244,Kumaraswamy Layout,"North Indian, Chinese",300.0,Delivery,Banashankari,Quick Bites,1,0,2
Recipe,4.0,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,Casual Dining,1,0,4
Beijing Bites,3.7,679,Rajarajeshwari Nagar,"Chinese, Thai",850.0,Delivery,Banashankari,Casual Dining,1,0,2
Tasty Bytes,3.1,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,Quick Bites,1,0,4
Petoo,3.7,21,Banashankari,North Indian,450.0,Delivery,Banashankari,Quick Bites,0,0,1
